Dataset,Total Step,Agent Step,Ground Truth Calls,Wrong Function Calls,Wrong Parameters,Wrong Routing Calls,Text Match,Journey Success,Avg Resp Time (Secs)
data_complex,18,9,5,0,2,0,Summary Matched,False,1.18
data_simple,18,9,2,0,3,0,Summary Matched,True,1.42
Summary (Average),18.0,9.0,3.5,0.0,0.71,0.0,1.0,0.5,1.3
